name,counta,money,totalPerformances,type
13,14,3577388,96,Musical
1776,44,12979845,325,Musical
110 In The Shade,15,4971529,94,Musical
42Nd Street '01,193,131200806,1509,Musical
9 To 5,22,15231411,148,Musical
A Catered Affair,18,6453273,116,Musical
A Chorus Line '06,97,53780422,759,Musical
A Christmas Story,7,8172266,51,Musical
A Class Act,17,2558362,105,Musical
A Funny Thing Happened On The Way To The Forum,94,48856284,715,Musical
A Gentleman'S Guide To Love And Murder,116,72984951,896,Musical
A Little Night Music,56,38606667,425,Musical
A Night With Janis Joplin,21,7234546,140,Musical
A Tale Of Two Cities,12,4655502,60,Musical
A Year With Frog And Toad,11,1736421,73,Musical
After Midnight,37,21234352,273,Musical
Aida,237,165928398,1852,Musical
Aladdin,129,190338628,1008,Musical
All About Me,6,1354494,20,Musical
All Shook Up,32,14447491,213,Musical
Allegiance,19,8614614,111,Musical
Amazing Grace,18,5540127,116,Musical
American Idiot,57,39798052,422,Musical
American Psycho,11,5627480,54,Musical
Amour,7,1338399,17,Musical
An American In Paris,75,78682788,559,Musical
An Evening With Jerry Herman,6,365391,28,Musical
Annie,32,12836836,239,Musical
Annie '12,66,59051957,487,Musical
Annie Get Your Gun,135,82148713,1045,Musical
Anything Goes '11,70,47288859,521,Musical
Assassins,16,6024383,101,Musical
Avenue Q,321,121918918,2534,Musical
Baby It'S You!,24,9111694,148,Musical
Band In Berlin,5,383380,17,Musical
Beautiful,143,143568862,1080,Musical
Beauty And The Beast,690,429158458,5461,Musical
Bells Are Ringing,13,3527176,68,Musical
Big,27,9736877,193,Musical
Big Fish,17,10858194,98,Musical
Big River '03,12,2802669,67,Musical
Billy Elliot: The Musical,171,183514378,1312,Musical
Blast!,25,8169127,180,Musical
Bloody Bloody Andrew Jackson,15,5629559,94,Musical
Bombay Dreams,40,22437579,284,Musical
Bonnie And Clyde,9,3277347,36,Musical
Bright Star,18,7474494,109,Musical
"Bring In Da Noise, Bring In Da Funk",144,54448939,1135,Musical
Bring It On The Musical,25,11410177,171,Musical
Brooklyn,40,10108600,284,Musical
Bullets Over Broadway,24,18176367,156,Musical
Burn The Floor,25,9285678,185,Musical
By Jeeves,11,2090954,73,Musical
Bye Bye Birdie,20,11485459,117,Musical
Cabaret '14,54,41150028,388,Musical
Cabaret 98,304,119389439,2377,Musical
Candide,15,5065916,104,Musical
"Caroline, Or Change",20,7527718,136,Musical
Catch Me If You Can,26,16863570,166,Musical
Cats,251,106573965,2008,Musical
Cats 2016,5,4404457,17,Musical
Chaplin,20,8518390,135,Musical
Chicago,1032,560575239,8202,Musical
Chita Rivera: The Dancer'S Life,13,3563420,72,Musical
Chitty Chitty Bang Bang,41,27509505,285,Musical
Chronicle Of A Death Foretold,1,103769,0,Musical
Cinderella,102,88166620,769,Musical
Come Fly Away,27,18368158,188,Musical
Company 06,35,12312349,246,Musical
Company 95,1,173012,0,Musical
Contact,131,60218526,1010,Musical
Cry Baby,15,4077104,68,Musical
Curtains,68,43628368,511,Musical
Dames At Sea,15,2540354,85,Musical
Dance Of The Vampires,15,9431254,56,Musical
Dirty Rotten Scoundrels,83,58033865,627,Musical
Disaster!,13,4293431,72,Musical
Doctor Zhivago,7,3197457,23,Musical
Dr. Seuss' How The Grinch Stole Christmas!,11,13343784,107,Musical
Dr. Seuss' How The Grinch Stole Christmas! 07,9,9559565,96,Musical
"Dracula, The Musical",23,6109526,157,Musical
Dream: The Johnny Mercer Musical,17,3311853,109,Musical
Elaine Stritch At Liberty,16,5000248,69,Musical
