name,counta,money,totalPerformances,type
33 Variations,15,4380302,85,Play
45 Seconds From Broadway,13,3839871,73,Play
700 Sundays,29,21674355,163,Play
700 Sundays '13,7,8106145,41,Play
A Behanding In Spokane,15,6848680,108,Play
A Bronx Tale,19,4888172,111,Play
A Christmas Carol '01,1,819397,8,Play
A Day In The Death Of Joe Egg,12,2874477,69,Play
A Delicate Balance,26,5995428,185,Play
A Delicate Balance 2014,17,11703597,100,Play
A Doll'S House,23,6495976,150,Play
A Free Man Of Color,11,2591058,53,Play
A Life In The Theatre,10,2583745,56,Play
A Man For All Seasons,14,3612196,73,Play
A Midsummer Night'S Dream,10,2731254,65,Play
A Month In The Country,2,320994,15,Play
A Moon For The Misbegotten 00,16,5140269,120,Play
A Moon For The Misbegotten 07,11,5912588,71,Play
A Naked Girl On The Appian Way,12,3082541,69,Play
A Raisin In The Sun,15,7941028,88,Play
A Raisin In The Sun '14,15,16253561,85,Play
A Steady Rain,13,15168742,80,Play
A Streetcar Named Desire '12,16,6060065,105,Play
A Streetcar Named Desire 05,15,4079447,73,Play
A Streetcar Named Desire 92,21,5947347,137,Play
A Thousand Clowns,9,1019814,32,Play
A Thousand Clowns 01,12,2658624,83,Play
A Time To Kill,8,1720560,33,Play
A Touch Of The Poet,12,3609646,58,Play
A View From The Bridge,35,6475447,239,Play
A View From The Bridge '10,14,10935941,81,Play
A View From The Bridge 2015,18,8427267,115,Play
Absurd Person Singular,11,1816196,56,Play
Accent On Youth,12,2028775,71,Play
Act One,13,4761068,67,Play
After Miss Julie,12,2534646,53,Play
After The Fall,12,2998486,53,Play
After The Night And The Music,10,1558313,38,Play
"Ah, Wilderness",11,1721052,54,Play
Airline Highway,10,1521105,53,Play
All My Sons 08,17,11029640,101,Play
All The Way,20,19492726,131,Play
Amadeus,22,5019461,173,Play
American Buffalo,4,739550,8,Play
Amy'S View,16,5911176,103,Play
An Act Of God,13,11082666,76,Play
An Act Of God 2016,12,3495760,75,Play
An Almost Holy Picture,11,2534937,69,Play
An American Daughter,15,2712516,89,Play
An Enemy Of The People,11,1967382,59,Play
An Ideal Husband,40,7755341,307,Play
Ann,19,5251537,132,Play
Anna In The Tropics,16,3115592,113,Play
Arcadia,13,2986504,104,Play
Arcadia '11,17,4881785,108,Play
Art,78,24287247,600,Play
August: Osage County,84,32835606,648,Play
Awake And Sing!,14,3384141,80,Play
Barefoot In The Park,17,4501355,109,Play
Barrymore,34,6566575,236,Play
Bengal Tiger At The Bagdhad Zoo,17,7889821,108,Play
Betrayal,16,3934071,89,Play
Betrayal '13,14,17501418,83,Play
Blackbird,19,7855675,108,Play
Blithe Spirit '09,21,11603724,145,Play
Bobbi Boland,1,100389,0,Play
Boeing-Boeing,38,13951563,279,Play
Born Yesterday '11,13,2792677,73,Play
Breakfast At Tiffany'S,7,2475937,38,Play
Bridge And Tunnel,30,6135555,213,Play
Brief Encounter,17,5210372,111,Play
Brighton Beach Memoirs '09,5,539369,9,Play
Broken Glass,11,1393461,73,Play
Bronx Bombers,8,1212059,29,Play
Brooklyn Boy,11,2135668,62,Play
Buried Child,11,1361820,72,Play
Bus Stop,7,650106,29,Play
Butley,15,5424237,94,Play
Casa Valentina,13,3028464,79,Play
Cat On A Hot Tin Roof '12,15,11661203,84,Play
Cat On A Hot Tin Roof 03,22,8898242,145,Play
Cat On A Hot Tin Roof 08,19,12603337,125,Play
China Doll,15,12630662,54,Play
Chinglish,16,4325401,109,Play
Closer,24,5318897,172,Play
Clybourne Park,23,8767402,157,Play
Colin Quinn - An Irish Wake,4,241753,22,Play
Colin Quinn: Long Story Short,20,3075662,135,Play
Collected Stories,10,1348639,54,Play
"Come Back, Little Sheba",11,2052427,58,Play
Constellations,13,6642180,76,Play
Copenhagen,44,11570839,326,Play
Coram Boy,6,1602370,30,Play
Cymbeline,10,2080001,40,Play
Cyrano De Bergerac,11,8098290,56,Play
Cyrano De Bergerac '12,11,2369149,52,Play
Dame Edna:  Back With A Vengeance,26,7021853,163,Play
Dame Edna: The Royal Tour,42,9815693,297,Play
Dance Of Death,17,5426431,108,Play
Dead Accounts,9,3089827,44,Play
Death Of A Salesman '12,16,12868982,78,Play
Death Of A Salesman 99,40,15190655,274,Play
Def Poetry Jam,27,3377597,198,Play
Defending The Caveman,77,8314428,467,Play
Democracy,24,7091677,173,Play
Design For Living 01,13,2984209,69,Play
Desire Under The Elms,6,1381950,32,Play
Deuce,19,5361739,121,Play
Dinner At Eight,10,2606844,45,Play
Dirty Blonde,47,7925422,352,Play
Disgraced,23,8534968,149,Play
Dividing The Estate,11,2796827,50,Play
Don'T Dress For Dinner,12,2130070,61,Play
Doubt,69,27656473,525,Play
Driving Miss Daisy,27,13586627,180,Play
Drowning Crow,10,1619255,54,Play
Eclipsed,17,5744145,121,Play
Electra,18,4629683,116,Play
Elling,4,686837,9,Play
Enchanted April,21,3492109,143,Play
End Of The Rainbow,22,6856068,160,Play
Enron,5,1489074,16,Play
Epic Proportions,15,1317751,93,Play
Equus,23,11962267,156,Play
Exit The King,15,6703380,93,Play
Faith Healer,17,7583448,117,Play
Fences '10,13,12908907,88,Play
Festen,9,1853946,49,Play
Fish In The Dark,26,27652896,173,Play
Fool For Love,13,3721858,75,Play
Fortune'S Fool,20,4318899,127,Play
Frankie And Johnny In The Claire De Lune,33,11458493,243,Play
Freak,24,5283095,144,Play
Frost/Nixon,21,9395227,137,Play
Frozen,17,2252052,128,Play
Fully Committed,18,7068657,112,Play
Garden District,7,510674,31,Play
Gem Of The Ocean,11,2577530,72,Play
George Gershwin Alone,14,1055351,96,Play
Getting And Spending,8,484281,41,Play
Ghetto Klown,20,6179540,95,Play
Glengarry Glen Ross '05,21,8532405,137,Play
Glengarry Glen Ross '12,14,14301932,45,Play
God Of Carnage,61,37345584,452,Play
"God Said ""Ha""",5,286310,22,Play
Golda'S Balcony,65,9309657,493,Play
Golden Boy,11,3106647,53,Play
Golden Child,10,828439,69,Play
Good People,16,5925428,101,Play
Gore Vidal'S The Best Man,17,5998667,121,Play
Gore Vidal'S The Best Man '12,27,18329754,185,Play
Grace,17,6479055,108,Play
Hamlet '09,13,10010252,72,Play
Hamlet 95,15,5094936,91,Play
Hand To God,43,12134434,311,Play
Harvey,12,6802810,62,Play
Having Our Say,37,4589010,277,Play
Heartbreak House,14,3177764,79,Play
Hedda Gabler 01,17,3297340,117,Play
Hedda Gabler 09,12,2742238,74,Play
Henry Iv,12,4870242,58,Play
High,5,449955,7,Play
Holiday,2,92284,0,Play
Hollywood Arms,13,2043835,76,Play
Honour,11,1132819,57,Play
Hughie,14,2673972,56,Play
Hughie 2016,7,2023264,37,Play
I Am My Own Wife,50,8648562,360,Play
I'Ll Eat You Last: A Chat With Sue Mengers,13,9561477,71,Play
I'M Not Rappaport '02,9,793377,53,Play
I'M Still Here...Damn It!,11,1228086,51,Play
If You Ever Leave Me�I'M Going With You,10,1361049,53,Play
Imaginary Friends,12,2857950,76,Play
Impressionism,11,2776558,56,Play
In The Next Room Or The Vibrator Play,12,2129999,60,Play
Indiscretions,1,280896,8,Play
Inherit The Wind 07,16,6805286,100,Play
Irena'S Vow,16,3070112,105,Play
Is He Dead?,16,2882050,105,Play
It'S Only A Play,41,37500966,274,Play
Ivanov,11,2953109,51,Play
Jackie Mason:  Freshly Squeezed,26,2964688,172,Play
Jackie Mason:  Politically Incorrect,1,57491,7,Play
Jackie Mason: Much Ado About Everything,37,5303427,186,Play
Jackie: An American Life,21,2261732,128,Play
Jay Johnson: The Two And Only,10,587011,70,Play
Jerusalem,21,8004618,141,Play
Joe Turner'S Come And Gone '09,13,3022226,69,Play
Journey'S End,18,2514849,125,Play
Judgment At Nuremberg,13,2025590,56,Play
Julius Caesar,14,8543103,81,Play
Jumpers,14,3957158,89,Play
King Charles Iii,17,9411612,103,Play
King Hedley Ii,12,2479599,72,Play
King Lear,10,2832254,33,Play
La Bete '10,16,4382858,101,Play
Lady Day At Emerson'S Bar & Grill,27,14085440,173,Play
Latinologues,16,1104272,93,Play
Laugh Whore,12,1828501,66,Play
Lend Me A Tenor '10,23,8249462,153,Play
Les Liaisons Dangereuses 08,13,3161855,77,Play
Life X 3,16,4570880,104,Play
Living On Love,5,811148,16,Play
Lombardi,35,9313391,244,Play
London Assurance,11,1493967,72,Play
Long Day'S Journey Into Night 03,19,11333178,117,Play
Long Day'S Journey Into Night 2016,13,5153917,61,Play
Looped,8,1262525,33,Play
Losing Louie,10,1548011,53,Play
Love Letters 2014,14,4124389,95,Play
Love Thy Neighbor,41,3856374,234,Play
Love! Valour! Compassion!,1,120573,8,Play
Lucky Guy,19,22992145,104,Play
Ma Rainey'S Black Bottom '03,11,2427214,68,Play
Macbeth '13,15,5202863,73,Play
Macbeth '13 (Lct),12,4251441,60,Play
Macbeth 00,3,489308,13,Play
Macbeth 08,9,4105572,52,Play
Machinal,11,2123256,52,Play
Magic/Bird,8,1136102,37,Play
Major Barbara,14,3217456,74,Play
Man And Boy,12,3095607,57,Play
Mark Twain Tonight!,3,617468,15,Play
Mary Stuart,20,6088106,137,Play
Master Class,61,9350941,413,Play
Master Class '11,12,3244777,67,Play
Master Harold�And The Boys,10,2276295,49,Play
Match,11,2333156,53,Play
Mauritius,11,2293948,61,Play
Medea 02,12,2454181,78,Play
Metamorphoses,52,10455094,400,Play
Misery,17,12518415,102,Play
Moon Over Buffalo,16,4904023,101,Play
More To Love: A Big Fat Comedy,3,247279,5,Play
Morning'S At Seven,18,2766340,112,Play
Mothers And Sons,18,3558406,104,Play
Mrs. Warren'S Profession,13,2917482,65,Play
Next Fall,20,3056830,132,Play
Night Mother,10,1700078,57,Play
Night Must Fall,20,2927757,119,Play
No Man'S Land/Waiting For Godot,23,14346510,145,Play
Noises Off '01,46,14678125,348,Play
Noises Off 2016,13,5339351,67,Play
Not About Nightingales,18,2465086,125,Play
November,30,11194646,205,Play
Of Mice And Men,19,15938704,118,Play
Old Acquaintance,12,1809462,61,Play
Old Times,11,4039575,64,Play
Oldest Living Confederate Widow Tells All,4,225202,1,Play
Oleanna,10,2177335,65,Play
On Golden Pond,14,2947551,93,Play
One Flew Over The Cuckoo'S Nest,20,6477718,121,Play
"One Man, Two Guvnors",22,13071416,159,Play
Orphans,8,4056117,37,Play
Other Desert Cities,36,14799861,261,Play
Our Mother'S Brief Affair,10,1727741,53,Play
Our Town 02,10,3757006,59,Play
Outside Mullingar,11,3351777,61,Play
Peter And The Starcatcher,43,17698854,319,Play
Picnic '12,11,2409844,49,Play
Prelude To A Kiss 2007,11,1786550,61,Play
Present Laughter,26,4334972,175,Play
Present Laughter '10,12,3071438,69,Play
Primo,6,1952699,35,Play
Private Lives '11,9,2773632,53,Play
Private Lives 02,20,7083941,127,Play
Proof,117,32896994,917,Play
Proposals,11,2172196,77,Play
Prune Danish,8,2080448,39,Play
Prymate,4,111855,5,Play
Pygmalion 07,13,3558323,69,Play
Qed,28,2165492,40,Play
Rabbit Hole,13,3203305,77,Play
Race,40,14939910,297,Play
Radio Golf,11,1825735,64,Play
Reasons To Be Pretty,14,1936204,85,Play
Reckless,13,3004690,77,Play
Red,16,6835696,101,Play
Relatively Speaking,19,10077527,117,Play
Ring Round The Moon,13,1282880,66,Play
Rock 'N' Roll,19,6767495,123,Play
Romeo And Juliet,16,6208798,93,Play
Rose,8,1230595,42,Play
Sacrilege,4,357454,21,Play
Salome,10,3702428,40,Play
"Say Goodnight, Gracie",49,5874615,364,Play
School For Scandal,1,27661,1,Play
Seascape,11,1526743,55,Play
Seminar,28,9819692,191,Play
Seven Guitars,15,2428850,120,Play
Sex And Longing,10,1474936,46,Play
Sexaholix '01,18,5337342,67,Play
Sexaholix '03,4,990923,28,Play
Shining City,13,3217082,80,Play
Side Man,68,9808327,517,Play
Sight Unseen,12,2724614,70,Play
Six Dance Lessons In Six Weeks,7,716751,30,Play
Sixteen Wounded,5,509381,12,Play
Skylight,16,4514236,116,Play
Skylight 2015,14,10126159,85,Play
Sly Fox,25,8121077,173,Play
Souvenir,11,945935,68,Play
Speed The Plow '08,21,8477093,140,Play
Stanley,12,1197565,77,Play
Steel Magnolias,20,4139622,136,Play
Stick Fly,15,4262543,93,Play
Stones In His Pockets,27,5141100,198,Play
Summer And Smoke,10,1194418,53,Play
Superior Donuts,16,4239113,109,Play
Sylvia,14,4453376,79,Play
Take Me Out,48,10975816,355,Play
Taking Sides,13,1723675,85,Play
Talk Radio,19,4489013,121,Play
Taller Than A Dwarf,12,2557061,56,Play
Tartuffe 03,12,2638852,53,Play
Tartuffe 96,4,171763,29,Play
That Championship Season,16,8443019,97,Play
The 39 Steps,100,22104342,771,Play
The American Plan,12,2001797,70,Play
The Anarchist,5,1651411,17,Play
The Assembled Parties,19,5402056,119,Play
The Audience,20,22072987,114,Play
The Beauty Queen Of Leenane,48,12496388,365,Play
The Big Knife,11,2337664,56,Play
The Blonde In The Thunderbird,3,191165,9,Play
The Blue Room,14,4589721,81,Play
The Caine Mutiny Court-Martial,6,945803,17,Play
The Caretaker 03,11,2156333,63,Play
The Chairs,12,1830517,74,Play
The Cherry Orchard,2,800000,12,Play
The Coast Of Utopia,29,11762335,121,Play
The Columnist,14,3505086,86,Play
The Constant Wife,13,3365506,77,Play
The Country Girl,16,5949235,97,Play
The Country House,11,2383928,61,Play
The Cripple Of Inishmaan,15,7845617,105,Play
The Crucible 02,17,7657715,101,Play
The Crucible 2016,20,11687115,125,Play
The Curious Incident Of The Dog In The Night-Time,101,66641346,775,Play
The Deep Blue Sea,12,1379259,61,Play
The Diary Of Anne Frank,30,6086337,221,Play
The Dinner Party,48,13974313,364,Play
The Elephant Man,10,1574221,57,Play
The Elephant Man 2014,16,14717696,83,Play
The Farnsworth Invention,18,4512535,104,Play
The Father 2016,13,3419470,78,Play
The Gathering,5,360983,24,Play
The Gin Game,21,2260537,145,Play
The Gin Game 2015,16,5514614,92,Play
The Glass Menagerie '13,25,14107163,173,Play
The Glass Menagerie 05,19,4573842,120,Play
"The Goat, Or Who Is Sylvia?",43,7932478,309,Play
The Good Body,9,843035,40,Play
The Graduate,51,17834908,380,Play
The Heidi Chronicles 2015,10,3257022,53,Play
The Heiress '12,19,9604456,117,Play
The Herbal Bed,5,371767,13,Play
The History Boys,25,16775002,185,Play
The Homecoming 07,19,4267706,137,Play
The House Of Blue Leaves '11,12,5707721,72,Play
The Humans,28,11515021,189,Play
The Iceman Cometh 99,16,8200517,102,Play
The Importance Of Being Earnest,28,8012925,189,Play
The Invention Of Love,18,3918862,108,Play
The Judas Kiss,15,4629082,103,Play
The Last Night Of Ballyhoo,73,11548547,556,Play
The Lieutenant Of Inishmore,20,3808107,142,Play
The Lion In Winter,15,2099821,93,Play
The Little Dog Laughed,17,3345956,112,Play
The Little Foxes,11,1759936,57,Play
The Lonesome West,8,619334,55,Play
The Lyons,13,2509091,80,Play
The Man Who Came To Dinner,15,3854225,85,Play
The Man Who Had All The Luck,11,2610518,70,Play
The Merchant Of Venice '10,15,15335104,73,Play
The Miracle Worker,8,1687067,38,Play
The Motherf**Ker With The Hat,18,10451323,112,Play
The Mountaintop,18,10864181,117,Play
The Mystery Of Charles Dickens,4,253992,20,Play
The Nance,21,8563126,136,Play
The Normal Heart,12,4237705,86,Play
The Norman Conquests,16,4229582,109,Play
The Odd Couple 05,35,28938436,249,Play
The Old Neighborhood,26,3820480,197,Play
The Other Place,12,2876466,61,Play
The Pee-Wee Herman Show,10,6296959,62,Play
The Performers,4,737219,6,Play
The Philanthropist,12,2463705,73,Play
The Pillowman,26,8946186,185,Play
The Pitmen Painters,13,2531130,86,Play
The Play What I Wrote,15,2530951,89,Play
The Play'S The Thing,1,32682,0,Play
The Price 99,19,3013098,128,Play
The Rainmaker,14,3321242,82,Play
The Real Thing '00,20,5645810,136,Play
The Real Thing 2014,14,6214364,76,Play
The Realistic Joneses,17,8209761,105,Play
The Rehearsal,11,1147712,55,Play
The Retreat From Moscow,22,4496405,147,Play
The Ride Down Mt. Morgan,18,3948515,121,Play
The Ritz,13,3438536,69,Play
The Rivals,9,2275152,45,Play
The River,15,10827016,97,Play
The Road To Mecca,12,2082656,56,Play
The Rose Tattoo,11,1039948,73,Play
The Royal Family,13,2627586,77,Play
The Seafarer,20,4512348,133,Play
The Seagull 08,14,6430741,94,Play
The Search For Signs Of Intelligent Life In The Universe 00,28,5562894,184,Play
The Shadow Box,9,636598,49,Play
The Sisters Rosensweig,72,19086077,556,Play
The Smell Of The Kill,8,533380,40,Play
The Snow Geese,11,2376183,60,Play
The Sunshine Boys,31,5023827,230,Play
The Tale Of The Allergist'S Wife,101,29310727,777,Play
The Tempest,12,4609277,70,Play
The Testament Of Mary,6,1279803,16,Play
The Trip To Bountiful,29,13498945,187,Play
The Velocity Of Autumn,5,544617,16,Play
The Vertical Hour,18,7308875,117,Play
The Violet Hour,10,2037981,54,Play
The Weir,36,6874875,277,Play
The Winslow Boy,11,2392300,53,Play
The Women,14,4183178,77,Play
The Year Of Magical Thinking,24,7293267,144,Play
The Young Man From Atlanta,13,1340187,84,Play
This Is Our Youth,20,7229324,133,Play
Three Days Of Rain,12,11427896,70,Play
Three Sisters,11,1708904,61,Play
Thurgood,19,4613166,126,Play
Th�r�se Raquin,14,5184011,75,Play
Time Stands Still,31,10428041,193,Play
To Be Or Not To Be,9,1166048,40,Play
Top Girls,11,2211556,63,Play
Topdog / Underdog,22,5405007,144,Play
Translations 06,10,2141231,53,Play
Tru,1,134456,8,Play
True West,24,5035352,154,Play
Twelfth Night,11,3602900,53,Play
Twelfth Night/Richard Iii,18,13930965,113,Play
Twelve Angry Men,33,9325569,228,Play
Twentieth Century,14,3869161,84,Play
Uncle Vanya,7,421847,29,Play
Uncle Vanya 00,10,2366742,49,Play
Vanya And Sonia And Masha And Spike,25,13130430,189,Play
Venus In Fur,29,9550145,191,Play
Via Dolorosa,15,1751272,99,Play
Vincent In Brixton,12,1915989,69,Play
Voices In The Dark,11,1245034,68,Play
Wait Until Dark,14,4125132,97,Play
Waiting For Godot,15,6908255,84,Play
Waiting In The Wings,26,6513905,183,Play
War Horse,95,74975253,718,Play
Well,10,1162288,52,Play
Who'S Afraid Of Virginia Woolf?,26,6574830,177,Play
Who'S Afraid Of Virginia Woolf? '12,23,6444452,142,Play
Whoopi,13,2584289,72,Play
Wishful Drinking,17,5649906,118,Play
Wit,11,2302405,60,Play
Wolf Hall Parts One & Two,16,9970896,103,Play
Wrong Mountain,6,418284,28,Play
You Can'T Take It With You,26,13227324,169,Play
