name,counta,money,totalPerformances,type
A Little More Magic,3,160000,19,Special
A Mom'S Life,3,11623,3,Special
An Evening With Patti Lupone And Mandy Patinkin,9,3740974,57,Special
As Long As We Both Shall Laugh,14,330477,15,Special
Aznavour,4,1331285,23,Special
Barbara Cook: Mostly Sondheim,18,1202305,26,Special
Barbara Cook'S Broadway,4,438437,7,Special
Bea Arthur On Broadway,11,1715877,65,Special
Bill Maher: Victory Begins At Home,3,533861,16,Special
Buttons On Broadway,1,27020,3,Special
Cirque Dreams: Jungle Fantasy,10,5166140,70,Special
Danny Gans On Broadway,2,84362,6,Special
Donny & Marie: A Broadway Christmas,4,2843463,20,Special
Dreams And Nightmares,5,6033691,55,Special
Eugene Onegin,1,97542,7,Special
Fool Moon '98,7,1686553,49,Special
Forever Tango '13,10,3041368,73,Special
Forever Tango '97,58,13872413,458,Special
Frankie Valli And The Four Seasons On Broadway,2,1404082,7,Special
"Harry Connick, Jr. '10",3,2620770,15,Special
"Hugh Jackman, Back On Broadway",10,14634985,61,Special
Il Divo - A Musical Affair,1,1308223,6,Special
It'S A Slippery Slope,11,410047,17,Special
Jerry Seinfeld,1,774652,10,Special
Kathy Griffin Wants A Tony,2,1021880,10,Special
King David,2,677313,6,Special
Let It Be,7,2535797,46,Special
Liza'S At The Palace,5,3059851,22,Special
Lord Of The Dance: Dangerous Games,9,3616869,67,Special
Love / Life,5,280480,8,Special
Mandy Patinkin,4,563627,16,Special
Mandy Patinkin In Concert: Mamaloshen,4,726465,28,Special
Manilow On Broadway,6,4160716,25,Special
Marc Salem'S Mind Games,24,287897,30,Special
Matters Of The Heart,10,628230,11,Special
"Men Are From Mars, Women Are From Venus",1,358316,7,Special
Mike Tyson: Undisputed Truth,2,1204618,10,Special
Minnelli On Minnelli,5,2549836,20,Special
"Morning, Noon And Night",11,504719,12,Special
Patti Labelle On Broadway,2,989597,12,Special
Patti Lupone On Broadway,1,83374,0,Special
Penn & Teller On Broadway,6,7820655,41,Special
Running On Empty,2,997676,8,Special
Shatner'S World: We Just Live In It,3,914006,17,Special
Slava'S Snowshow,5,1435574,35,Special
Soul Of Shaolin,3,1225360,21,Special
The Illusionists - Live On Broadway,7,6785761,64,Special
The Illusionists - Witness The Impossible,6,8157068,45,Special
The Rascals: Once Upon A Dream,3,2245793,14,Special
The Temptations And The Four Tops On Broadway,1,819461,7,Special
You'Re Welcome America. A Final Night With George W. Bush,8,6723050,46,Special
