name,counta,money,totalPerformances,type,theatre
13,14,3577388,96,Musical,Jacobs
1776,44,12979845,325,Musical,Criterion
110 In The Shade,15,4971529,94,Musical,Studio 54
33 Variations,15,4380302,85,Play,Eugene O'Neill
42Nd Street '01,193,131200806,1509,Musical,Ford Center
45 Seconds From Broadway,13,3839871,73,Play,Richard Rodgers
700 Sundays,29,21674355,163,Play,Broadhurst
700 Sundays '13,7,8106145,41,Play,Imperial
9 To 5,22,15231411,148,Musical,Marquis
A Behanding In Spokane,15,6848680,108,Play,Schoenfeld
A Bronx Tale,19,4888172,111,Play,Walter Kerr
A Catered Affair,18,6453273,116,Musical,Walter Kerr
A Chorus Line '06,97,53780422,759,Musical,Schoenfeld
A Christmas Carol '01,1,819397,8,Play,Marquis
A Christmas Story,7,8172266,51,Musical,Lunt-Fontanne
A Class Act,17,2558362,105,Musical,Ambassador
A Day In The Death Of Joe Egg,12,2874477,69,Play,American Airlines
A Delicate Balance,26,5995428,185,Play,Plymouth
A Delicate Balance 2014,17,11703597,100,Play,Golden
A Doll'S House,23,6495976,150,Play,Belasco
A Free Man Of Color,11,2591058,53,Play,Vivian Beaumont
A Funny Thing Happened On The Way To The Forum,94,48856284,715,Musical,St. James
A Gentleman'S Guide To Love And Murder,116,72984951,896,Musical,Walter Kerr
A Life In The Theatre,10,2583745,56,Play,Schoenfeld
A Little More Magic,3,160000,19,Special,Belasco
A Little Night Music,56,38606667,425,Musical,Walter Kerr
A Man For All Seasons,14,3612196,73,Play,American Airlines
A Midsummer Night'S Dream,10,2731254,65,Play,Lunt-Fontanne
A Mom'S Life,3,11623,3,Special,Belasco
A Month In The Country,2,320994,15,Play,Criterion
A Moon For The Misbegotten 00,16,5140269,120,Play,Walter Kerr
A Moon For The Misbegotten 07,11,5912588,71,Play,Brooks Atkinson
A Naked Girl On The Appian Way,12,3082541,69,Play,American Airlines
A Night With Janis Joplin,21,7234546,140,Musical,Lyceum
A Raisin In The Sun,15,7941028,88,Play,Royale
A Raisin In The Sun '14,15,16253561,85,Play,Ethel Barrymore
A Steady Rain,13,15168742,80,Play,Schoenfeld
A Streetcar Named Desire '12,16,6060065,105,Play,Broadhurst
A Streetcar Named Desire 05,15,4079447,73,Play,Studio 54
A Streetcar Named Desire 92,21,5947347,137,Play,Ethel Barrymore
A Tale Of Two Cities,12,4655502,60,Musical,Al Hirschfeld
A Thousand Clowns,9,1019814,32,Play,Criterion
A Thousand Clowns 01,12,2658624,83,Play,Longacre
A Time To Kill,8,1720560,33,Play,Golden
A Touch Of The Poet,12,3609646,58,Play,Studio 54
A View From The Bridge,35,6475447,239,Play,Criterion
A View From The Bridge '10,14,10935941,81,Play,Cort
A View From The Bridge 2015,18,8427267,115,Play,Lyceum
A Year With Frog And Toad,11,1736421,73,Musical,Cort
Absurd Person Singular,11,1816196,56,Play,Biltmore
Accent On Youth,12,2028775,71,Play,Friedman
Act One,13,4761068,67,Play,Vivian Beaumont
