theatre,money,totalPerformances,potential
Al Hirschfeld,457350291,4265,63.90526316
Ambassador,457209272,7530,55.56905504
American Airlines,170978045,3604,54.69846154
August Wilson,537937024,4466,92.05506217
Belasco,162227716,2941,55.88535032
Biltmore,34059000,916,52.38922156
Booth,199057971,4756,52.55647383
Broadhurst,386183829,4857,65.30028329
Broadway,702746119,7946,45.23349282
Brooks Atkinson,301052778,4730,59.69710145
Cadillac Winter Garden,229929442,1930,90.82644628
Circle In The Square,185509564,4429,54.82316119
Cort,178168342,3159,51.25548902
Criterion,20973725,816,42.93793103
Ethel Barrymore,314854373,5557,57.40150565
Eugene O'Neill,695093495,6589,76.6833713
Ford Center,131200806,1509,65.11398964
Ford Center (Livent),79947694,834,92.09259259
Ford Center (Tcn),11284435,161,53.625
Foxwoods,212406040,1066,73.31875
Friedman,71690024,1662,42.81099656
Gershwin,1223683220,7691,83.63061224
Golden,250993723,5586,59.7759283
Helen Hayes,187827195,6255,45.54953917
Henry Miller,34815864,965,72.984
Henry Miller (Rndabt),12839953,137,50.96153846
Hilton Theatre,117727774,1059,28.21917808
Imperial,633662295,6933,69.73754153
Jacobs,269229840,3183,66.49206349
Kit Kat Klub,7995666,233,83.97142857
Longacre,136389539,2655,44.09375
Lunt-Fontanne,677190984,6971,72.2032967
Lyceum,128266035,3309,44.52014652
Lyric,51023607,529,40.84615385
Majestic,790512187,8400,65.02659069
Marquis,505106289,5274,58.21059783
Martin Beck,149059261,2162,61.57586207
Minskoff,1042461411,7001,72.7038674
Music Box,245989279,4388,54.23364486
Nederlander,438840807,7019,65.47530187
Neil Simon,469783656,5548,62.56763926
New Amsterdam,941999340,7204,87.15393013
Palace,710362193,7354,58.04123711
Plymouth,136738520,2759,59.29765013
Richard Rodgers,533196497,5897,66.23209877
Royale,84842231,2032,52.8974359
Schoenfeld,222322807,2167,67.71794872
Shubert,684708066,7522,70.83867632
St. James,577571273,6022,62.97919217
Stephen Sondheim,210653625,1850,74.06349206
Studio 54,159610268,2192,58.45856354
Studio 54 ('98),111393773,2144,74.05204461
Virginia,151197789,3092,36.83490566
Vivian Beaumont,399674172,5233,64.13301663
Walter Kerr,311236841,5991,57.72793229
Winter Garden,505803628,5628,58.33518776
