shows,avg_price,top_price,counta,performances,money,type,theatre
33 Variations,62.68266667,350,15,85,4380302,Play,Eugene O'Neill
45 Seconds from Broadway,40.23846154,70,13,73,3839871,Play,Richard Rodgers
9 to 5,69.74318182,300,22,148,15231411,Musical,Marquis
A Catered Affair,67.06,199.5,18,116,6453273,Musical,Walter Kerr
A Class Act,38.29588235,81.25,17,105,2558362,Musical,Ambassador
A Day in the Death of Joe Egg,45.175,65,12,69,2874477,Play,American Airlines
A Doll's House,44.68304348,60,23,150,6495976,Play,Belasco
A Funny Thing Happened on the Way to the Forum,51.99308511,70,94,715,48856284,Musical,St. James
A Life in the Theatre,57.937,250,10,56,2583745,Play,Schoenfeld
A Little More Magic,20.44333333,40,3,19,160000,Special,Belasco
A Little Night Music,103.6901786,350,56,425,38606667,Musical,Walter Kerr
A Man for All Seasons,55.90357143,111.5,14,73,3612196,Play,American Airlines
A Midsummer Night's Dream,40.54,65,10,65,2731254,Play,Lunt-Fontanne
A Mom's Life,25.55666667,40,3,3,11623,Special,Belasco
A Naked Girl on the Appian Way,53.15916667,81.25,12,69,3082541,Play,American Airlines
A Night With Janis Joplin,80.34428571,200,21,140,7234546,Musical,Lyceum
A Steady Rain,139.0592308,375,13,80,15168742,Play,Schoenfeld
A Tale of Two Cities,60.2375,250,12,60,4655502,Musical,Al Hirschfeld
A Time to Kill,56.20375,223,8,33,1720560,Play,Golden
A Touch of the Poet,52.36,86.25,12,58,3609646,Play,Studio 54
A Year with Frog and Toad,43.08909091,91.25,11,73,1736421,Musical,Cort
Absurd Person Singular,48.69545455,79,11,56,1816196,Play,Biltmore
Accent on Youth,49.28666667,95,12,71,2028775,Play,Friedman
Act One,65.42307692,0,13,67,4761068,Play,Vivian Beaumont
After Midnight,86.83675676,197,37,273,21234352,Musical,Brooks Atkinson
After Miss Julie,46.2,0,12,53,2534646,Play,American Airlines
After the Fall,52.26166667,86.25,12,53,2998486,Play,American Airlines
After the Night and the Music,47.068,78,10,38,1558313,Play,Biltmore
Aida,60.80075949,180,237,1852,165928398,Musical,Palace
Airline Highway,41.828,0,10,53,1521105,Play,Friedman
All About Me,52.37666667,251.5,6,20,1354494,Musical,Henry Miller (Rndabt)
All Shook Up,48.8503125,100,32,213,14447491,Musical,Palace
All The Way,108.908,225,20,131,19492726,Play,Neil Simon
Amazing Grace,59.83944444,197,18,116,5540127,Musical,Nederlander
American Buffalo,50.83,250,4,8,739550,Play,Belasco
American Idiot,76.61596491,250,57,422,39798052,Musical,St. James
